번호,제목,링크
0," ""야구 티켓 왜 구하기 어렵나 했더니"" 매크로 돌려 싹쓸이···'800% 웃돈 판매' 30대 송치 ",http://v.daum.net/v/20251110104657912
1," 韓 야구대표팀, 'K-베이스볼 시리즈' 체코에 대승 ",http://v.daum.net/v/20251109170625597
2, '2025 달성 비슬산배 전국사회인 야구대회' 대구 워리어스팀 우승 ,http://v.daum.net/v/20251110155511466
3," ‘불꽃야구’ 파이터즈, 장충고에 쩔쩔…김성근 감독 선택은 ",http://v.daum.net/v/20251110160412899
4," 프로야구 SSG 김찬형 현역 은퇴…""선수 의사 존중, 미래 응원"" ",http://v.daum.net/v/20251110162113697
5," 대한민국 야구팬들이 모두 김서현을 응원했다… 하지만 냉정한 현실, 막강 日 상대로 극적 반등하나 ",http://v.daum.net/v/20251110124947995
6," “프로야구, 암표가 더 많이 팔렸다”…‘암표 근절’에 곤란해진 네이버 크림 ",http://v.daum.net/v/20251110162746992
7," '매크로'로 프로야구 티켓 싹쓸이⋯8배 비싸게 판 30대, 檢 송치 ",http://v.daum.net/v/20251110155447450
8," '최강야구' 김태균의 필승 각오…""우승으로 감동 드리겠다"" ",http://v.daum.net/v/20251110150647035
9, [뉴스in뉴스] 야구 대표팀 10년만의 일본전 승리 도전 ,http://v.daum.net/v/20251110125455117
10," 일본프로야구 거포 야마사키, 프로야구 SSG랜더스 마무리캠프 합류 ",http://v.daum.net/v/20251110134556660
11," [뉴스토리 디테일] 2030 여성들이 야구에 빠진 진짜 이유, 직접 들어봤습니다!! (feat. LG레전드 박용택) ",http://v.daum.net/v/20251110140909606
12, 삼성 홈경기 등 야구티켓 800% 부풀려 판 30대男 최후 ,http://v.daum.net/v/20251110093647417
13, 매크로 돌려 야구 입장권 싹쓸이…웃돈 받고 되판 30대 송치 ,http://v.daum.net/v/20251110082817623
14, 제18회 동두천시장배 야구대회 개막 ,http://v.daum.net/v/20251110151114292
15, 대구경찰 '매크로' 이용 프로야구 온라인 암표 판매 30대 송치 ,http://v.daum.net/v/20251110085615424
16," ‘최강야구’ 주장 김태균 “한화 준우승 아쉽지만, 선수들 너무 잘해” (인터뷰) ",http://v.daum.net/v/20251110133850415
17, ‘최강야구’ 김태균 인터뷰 ,http://v.daum.net/v/20251110130647420
18, “네이버 지도로 야구장 찾는 건 거의 불가능. 한국에선 구글 먹통”…야구장 가고 싶어도 못 가는 외국인 야구팬들 [더게이트 탐사] ,http://v.daum.net/v/20251110105503360
19," ""안타 한 개당 5만 원+승리 시 뷔페""…양승호 감독, 파격 공약 (최강야구) ",http://v.daum.net/v/20251110114847429
20," 터치드, 고척돔 달궜다…야구 대표팀 응원가 '너를 위해 부른다' 무대 ",http://v.daum.net/v/20251110120146924
21, 장당 9000원 입장권 7만원에 판매...프로야구 경기 암표 팔아 5600만원 수익 ,http://v.daum.net/v/20251110135148893
22," 풋볼 선수 시절 소환한 트럼프, ""야구 선수도 할 수 있었어"" 지인 증언까지 ",http://v.daum.net/v/20251110104911015
23, [부고] 김정균(프로야구 두산 지원팀 수석)씨 모친상 ,http://v.daum.net/v/20251110115420636
24," 이대호, 경기 중 살벌한 후배 잡도리…""들어오면 죽는다"" 엄포 (불꽃야구) ",http://v.daum.net/v/20251110154338862
25," 구로구 유소년, 제4회 청춘양구 전국유소년야구대회 우승 ",http://v.daum.net/v/20251110154209803
26, 매크로 이용해 프로야구 티켓 1300장 ‘싹쓸이’…대구 30대 검거 ,http://v.daum.net/v/20251110104511827
27," '별따기' 야구표, 꼼수 싹쓸이...9배 값에 되팔아 ",http://v.daum.net/v/20251110085312316
28, ‘야구대표자3’ 전준우 정훈 박건우 ,http://v.daum.net/v/20251110084146990
29," '최강야구' 김태균, 주장 다운 자신감 ""홈런 치고파, 6년 공백 지우겠다"" ",http://v.daum.net/v/20251110133847407
